year,month,date,prefectureNameJ,prefectureNameE,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber
2020,2,8,東京都,Tokyo,3,,,,,,
2020,2,8,神奈川県,Kanagawa,1,,,,,,
2020,2,9,東京都,Tokyo,3,,,,,,
2020,2,9,神奈川県,Kanagawa,1,,,,,,
2020,2,10,東京都,Tokyo,3,,,,,,
2020,2,10,神奈川県,Kanagawa,1,,,,,,
2020,2,11,東京都,Tokyo,3,,,,,,
2020,2,11,神奈川県,Kanagawa,2,,,,,,
2020,2,12,東京都,Tokyo,3,,,,,,
2020,2,12,神奈川県,Kanagawa,2,,,,,,
2020,2,13,東京都,Tokyo,4,,,,,,
2020,2,13,神奈川県,Kanagawa,3,,,,,,
2020,2,14,東京都,Tokyo,6,,,,,,
2020,2,14,神奈川県,Kanagawa,4,,,,,,
2020,2,14,沖縜�,Okinawa,1,,,,,,
2020,2,15,東京都,Tokyo,14,130,,,,,
2020,2,15,神奈川県,Kanagawa,4,,,,,,
2020,2,15,沖縜�,Okinawa,1,,,,,,
2020,2,16,東京都,Tokyo,19,204,,,,,
2020,2,16,神奈川県,Kanagawa,4,,,,,,
2020,2,16,沖縜�,Okinawa,1,,,,,,
2020,2,17,東京都,Tokyo,19,211,,,,,
2020,2,17,神奈川県,Kanagawa,5,,,,,,
2020,2,17,沖縜�,Okinawa,1,,,,,,
2020,2,18,東京都,Tokyo,22,235,,,,,
2020,2,18,神奈川県,Kanagawa,6,,,,,,
2020,2,18,沖縜�,Okinawa,1,,,,,,
2020,2,19,東京都,Tokyo,25,315,,,,,
2020,2,19,神奈川県,Kanagawa,8,,,,,,
2020,2,19,沖縜�,Okinawa,2,,,,,,
2020,2,20,東京都,Tokyo,25,375,,,,,
2020,2,20,神奈川県,Kanagawa,10,,,,,,
2020,2,20,沖縜�,Okinawa,3,,,,,,
2020,2,21,東京都,Tokyo,28,410,,,,,
2020,2,21,神奈川県,Kanagawa,13,,,,,,
2020,2,21,沖縜�,Okinawa,3,,,,,,
